step,day,step_of_day,state,action,reward
219,43,4,sedentary,nudge,0.0
220,44,0,sedentary,nudge,0.0
221,44,1,sedentary,nudge,0.0
222,44,2,sedentary,nudge,0.0
223,44,3,sedentary,nudge,0.0
224,44,4,sedentary,nudge,1.0
225,45,0,active,nudge,0.0
226,45,1,sedentary,nudge,1.0
227,45,2,active,nudge,0.0
228,45,3,sedentary,nudge,0.0
229,45,4,sedentary,nudge,1.0
230,46,0,active,nudge,1.0
231,46,1,active,nudge,1.0
232,46,2,active,idle,0.0
233,46,3,sedentary,nudge,0.0
234,46,4,sedentary,nudge,0.0
235,47,0,sedentary,nudge,0.0
236,47,1,sedentary,nudge,0.0
237,47,2,sedentary,nudge,0.0
238,47,3,sedentary,nudge,1.0
239,47,4,active,nudge,1.0
240,48,0,active,nudge,0.0
241,48,1,sedentary,nudge,0.0
242,48,2,sedentary,nudge,1.0
243,48,3,active,nudge,0.0
244,48,4,sedentary,nudge,0.0
245,49,0,sedentary,nudge,0.0
246,49,1,sedentary,nudge,0.0
247,49,2,sedentary,nudge,0.0
248,49,3,sedentary,nudge,0.0
249,49,4,sedentary,nudge,0.0
250,50,0,sedentary,nudge,0.0
251,50,1,sedentary,nudge,0.0
252,50,2,sedentary,nudge,0.0
253,50,3,sedentary,idle,0.0
254,50,4,sedentary,nudge,1.0
255,51,0,active,nudge,0.0
256,51,1,sedentary,idle,0.0
257,51,2,sedentary,nudge,1.0
258,51,3,active,nudge,1.0
259,51,4,active,nudge,0.0
260,52,0,sedentary,nudge,1.0
261,52,1,active,nudge,0.0
262,52,2,sedentary,nudge,0.0
263,52,3,sedentary,nudge,1.0
264,52,4,active,nudge,0.0
265,53,0,sedentary,nudge,1.0
266,53,1,active,nudge,1.0
267,53,2,active,nudge,1.0
268,53,3,active,nudge,1.0
269,53,4,active,nudge,1.0
270,54,0,active,nudge,1.0
271,54,1,active,nudge,1.0
272,54,2,active,nudge,1.0
273,54,3,active,nudge,0.0
274,54,4,sedentary,idle,0.0
275,55,0,sedentary,nudge,0.0
276,55,1,sedentary,nudge,0.0
277,55,2,sedentary,nudge,0.0
278,55,3,sedentary,nudge,0.0
279,55,4,sedentary,nudge,0.0
